PRC 21, N3 (1980) 1014 (table 8, p1024) - proton differential cross section


Smoothed cross sections in units of mb/[s(MeV/c)] for an angle of 30 degree.
These cross sections were obtained by smoothing point by point data obtained 
in this work. In some cases the interpolation bas been performed between
nonoverlapping data sets at different momenta.

angular acceptances +/-1 degree 


  p        6Li        Li       12C       27Al      40Ca      51V       90Zr       pb       
(MeV/c)


900 	0.0355 	0.0379 	0.076 		0.161 	0.168 	0.251 	0.326 
910 	0.0365 	0.0382 	0.078 		0.162 	0.168 	0.252 	0.324 
920 	0.0375 	0.0388 	0.079 	0.130 	0.162 	0.169 	0.252 	0.322 
930 	0.0379 	0.0396 	0.080 	0.131 	0.163 	0.169 	0.253 	0.321 
940 	0.0385 	0.0402 	0.082 	0.131 	0.164 	0.169 	0.253 	0.320 
950 	0.0391 	0.0414 	0.083 	0.133 	0.166 	0.170 	0.254 	0.317 
960 	0.0400 	0.0426 	0.084 	0.133 	0.167 	0.170 	0.255 	0.318 
910 	0.0412 	0.0447 	0.085 	0.134 	0.168 	0.172 	0.256 	0.318 
980 	0.0426 	0.0471 	0.088 	0.134 	0.169 	0.174 	0.258 	0.321 
990 	0.0440 	0.0497 	0.090 	0.135 	0.170 	0.176 	0.260 	0.323 
1000 	0.0459 	0.0532 	0.091 	0.136 	0.173 	0.179 	0.261 	0.324 
1010 	0.0473 	0.0560 	0.092 	0.137 	0.178 	0.180 	0.263 	0.327 
1020 	0.0495 	0.0592 	0.095 	0.140 	0.181 	0.182 	0.264 	0.331 
1030 	0.0512 	0.0631 	0.097 	0.144 	0.186 	0.185 	0.265 	0.337 
1040 	0.0542 	0.0661 	0.099 	0.147 	0.189 	0.188 	0.267 	0.341 
1050 	0.0592 	0.0702 	0.100 	0.149 	0.193 	0.191 	0.270 	0.346 
1060 	0.0669 	0.0743 	0.103 	0.154 	0.199 	0.192 	0.272 	0.350 
1070 	0.0737 	0.0781 	0.105 	0.156 	0.204 	0.195 	0.276 	0.355 
1080 	0.0791 	0.0817 	0.108 	0.160 	0.207 	0.199 	0.282 	0.367 
1090 	0.0828 	0.0850 	0.110 	0.162 	0.211 	0.201 	0.286 	0.374 
1100 	0.0858 	0.0876 	0.111 	0.164 	0.214 	0.205 	0.291 	0.380 
1110 	0.0885 	0.0897 	0.114 	0.167 	0.218 	0.207 	0.297 	0.388 
1120 	0.0909 	0.0909 	0.115 	0.169 	0.219 	0.208 	0.300 	0.394 
1130 	0.0922 	0.0909 	0.116 	0.173 	0.220 	0.207 	0.303 	0.407 
1140 	0.0928 	0.0903 	0.117 	0.174 	0.218 	0.205 	0.303 	0.414 
1150 	0.0917 	0.0882 	0.118 	0.174 	0.213 	0.204 	0.303 	0.421 
1160 	0.0844 	0.0850 	0.117 	0.173 	0.209 	0.201 	0.302 	0.421 
1170 	0.0773 	0.0808 	0.115 	0.169 	0.206 	0.199 	0.299 	0.420 
1180 	0.0698 	0.0758 	0.110 	0.164 	0.203 	0.195 	0.294 	0.409 
1190 	0.0627 	0.0704 	0.103 	0.160 	0.199 	0.193 	0.289 	0.405 
1200 	0.0560 	0.0651 	0.098 	0.151 	0.190 	0.188 	0.284 	0.398 
1210 	0.0509 	0.0592 	0.091 	0.143 	0.183 	0.183 	0.277 	0.399 
1220 	0.0468 	0.0539 	0.088 	0.136 	0.176 	0.177 	0.269 	0.379 
1230 	0.0430 	0.0483 	0.080 	0.128 	0.166 	0.169 	0.254 	0.359 
1240 	0.0391 	0.0426 	0.076 	0.121 	0.157 	0.161 	0.244 	0.334 
1250 	0.0361 	0.0385 	0.071 	0.112 	0.147 	0.153 	0.232 	0.329 
1260 	0.0331 	0.0408 	0.065 	0.105 	0.136 	0.143 	0.218 	0.320 
1270 	0.0305 	0.0320 	0.059 	0.097 	0.125 	0.135 	0.206 	0.301 
1280 	0.0284 	0.0288 	0.053 	0.091 	0.111 	0.121 	0.174 	0.253 
1290 	0.0246 	0.0258 	0.049 	0.083 	0.102 	0.109 	0.155 	0.238 
1300 	0.0222 	0.0234 	0.043 	0.074 	0.088 	0.101 	0.148 	0.211 
1310 	0.0195 	0.0207 	0.038 	0.066 	0.080 	0.088 	0.134 	0.185 
1320 	0.0160 	0.0187 	0.033 	0.058 	0.071 	0.080 	0.114 	0.173 
1330 	0.0134 	0.0157 	0.028 	0.048 	0.061 	0.070 	0.103 	0.140 
1340 	0.0110 	0.0128 	0.025 	0.043 	0.051 	0.056 	0.088 	0.125 
1350 	0.0086 	0.0110 	0.022 	0.036 	0.043 	0.047 	0.076 	0.112 
1360 	0.0075 	0.0098 	0.019 	0.030 	0.038 	0.040 	0.064 	0.097 
1370 	0.0080 	0.0080 	0.017 	0.024 	0.033 	0.034 	0.052 	0.084 
1380 	0.0057 	0.0053 	0.012 	0.018 	0.021 	0.027 	0.043 	0.058 
1390 	0.0033 	0.0027 	0.008 	0.014 	0.016 	u.019 	0.036 	0.050 
1400 	0.0021 	0.0024 	0.006 	0.009 	0.013 	0.015 	0.027 	0.038

	 ±5.4	 ±5.4    ±5.0    ±4.6	 ±5.0	 ±4.6    ±4.6    ±5.0
Approximate systematic cross section errors in %
